2023-07-30 19:49:33,8.50%,40.79°C
2023-07-30 19:49:35,6.80%,40.83°C
2023-07-30 19:49:36,3.30%,40.87°C
2023-07-30 19:49:37,0.00%,40.91°C
2023-07-30 19:49:38,0.80%,41.21°C
2023-07-30 19:49:40,7.60%,41.25°C
2023-07-30 19:49:41,6.20%,41.30°C
2023-07-30 19:49:42,0.00%,41.34°C
2023-07-30 19:49:43,0.80%,41.41°C
2023-07-30 19:49:45,0.80%,41.45°C
2023-07-30 19:49:46,1.60%,41.49°C
2023-07-30 19:49:47,0.00%,41.52°C
2023-07-30 19:54:33,48.30%,-127.00°C
2023-07-30 19:54:34,19.20%,-127.00°C
2023-07-30 19:54:35,2.50%,-127.00°C
2023-07-30 19:54:36,0.80%,40.53°C
2023-07-30 19:54:37,9.30%,40.48°C
2023-07-30 19:54:39,0.00%,40.44°C
2023-07-30 19:54:40,0.00%,40.39°C
2023-07-30 19:54:41,0.00%,40.36°C
2023-07-30 19:54:42,0.00%,40.33°C
2023-07-30 19:54:43,12.10%,40.30°C
2023-07-30 19:54:45,11.40%,40.27°C
2023-07-30 19:54:46,0.00%,40.27°C
2023-07-30 19:54:47,0.00%,40.26°C
2023-07-30 19:54:48,3.10%,40.25°C
2023-07-30 19:54:49,0.00%,40.26°C
2023-07-30 19:54:51,6.30%,40.25°C
2023-07-30 19:54:52,2.20%,40.29°C
2023-07-30 19:54:53,7.80%,40.29°C
2023-07-30 19:54:54,10.20%,40.30°C
2023-07-30 19:54:56,0.80%,40.32°C
2023-07-30 19:54:57,2.30%,40.34°C
2023-07-30 19:54:58,6.50%,40.36°C
2023-07-30 19:54:59,0.00%,40.40°C
2023-07-30 19:55:01,1.60%,40.42°C
2023-07-30 19:55:02,0.80%,40.57°C
2023-07-30 19:55:03,0.00%,40.59°C
2023-07-30 19:55:04,1.50%,40.63°C
2023-07-30 19:55:06,0.80%,40.65°C
2023-07-30 19:55:07,0.00%,40.67°C
2023-07-30 19:55:08,0.80%,40.69°C
2023-07-30 19:55:09,4.60%,40.72°C
2023-07-30 19:55:11,6.60%,40.74°C
2023-07-30 19:55:12,5.80%,40.88°C
2023-07-30 19:55:13,0.80%,40.90°C
2023-07-30 19:55:14,6.10%,40.94°C
2023-07-30 19:55:15,16.30%,40.96°C
2023-07-30 19:55:17,0.00%,41.00°C
2023-07-30 19:55:18,9.00%,41.05°C
2023-07-30 19:55:19,22.90%,41.18°C
2023-07-30 19:55:20,9.20%,41.23°C
2023-07-30 19:55:22,1.50%,41.62°C
